,sentence,label
56,"Не говоря ни слова, встал он с места, расставил ноги свои посереди комнаты, нагнул голову немного вперед, засунул руку в задний карман горохового кафтана своего, вытащил круглую под лаком табакерку, щелкнул пальцем по намалеванной роже какого-то бусурманского генерала и, захвативши немалую порцию табаку, растертого с золою и листьями любистка, поднес ее коромыслом к носу и вытянул носом на лету всю кучку, не дотронувшись даже до большого пальца, – и всё ни слова; да как полез в другой карман и вынул синий в клетках бумажный платок, тогда только проворчал про себя чуть ли еще не поговорку: «Не мечите бисер перед свиньями»…",1
57,"«Быть же теперь ссоре», – подумал я, заметив, что пальцы у Фомы Григорьевича так и складывались дать дулю.",1
58,"К счастию, старуха моя догадалась поставить на стол горячий книш с маслом.",1
59,Все принялись за дело.,1
60,"Рука Фомы Григорьевича, вместо того чтоб показать шиш, протянулась к книшу, и, как всегда водится, начали прихваливать мастерицу хозяйку.",1
61,"Еще был у нас один рассказчик; но тот (нечего бы к ночи и вспоминать о нем) такие выкапывал страшные истории, что волосы ходили по голове.",1
62,Я нарочно и не помещал их сюда.,1
63,"Еще напугаешь добрых людей так, что пасичника, прости господи, как черта, все станут бояться.",1
64,"Пусть лучше, как доживу, если даст бог, до нового году и выпущу другую книжку, тогда можно будет постращать выходцами с того света и дивами, какие творились в старину в православной стороне нашей.",1
65,"Меж ними, статься может, найдете побасенки самого пасичника, какие рассказывал он своим внукам.",1
66,"Лишь бы слушали да читали, а у меня, пожалуй, – лень только проклятая рыться, – наберется и на десять таких книжек.",1
67,"Да, вот было и позабыл самое главное: как будете, господа, ехать ко мне, то прямехонько берите путь по столбовой дороге на Диканьку.",1
68,"Я нарочно и выставил ее на первом листке, чтобы скорее добрались до нашего хутора.",1
69,"Про Диканьку же, думаю, вы наслышались вдоволь.",1
70,"И то сказать, что там дом почище какого-нибудь пасичникова куреня.",1
71,"А про сад и говорить нечего: в Петербурге вашем, верно, не сыщете такого.",1
72,"Приехавши же в Диканьку, спросите только первого попавшегося навстречу мальчишку, пасущего в запачканной рубашке гусей: «А где живет пасичник Рудый Панько?»",1
73,"– «А вот там!» – скажет он, указавши пальцем, и, если хотите, доведет вас до самого хутора.",1
74,"Прошу, однако ж, не слишком закладывать назад руки и, как говорится, финтить, потому что дороги по хуторам нашим не так гладки, как перед вашими хоромами.",1
75,"Фома Григорьевич третьего году, приезжая из Диканьки, понаведался-таки в провал с новою таратайкою своею и гнедою кобылою, несмотря на то что сам правил и что сверх своих глаз надевал по временам еще покупные.",1
76,"Зато уже как пожалуете в гости, то дынь подадим таких, какие вы отроду, может быть, не ели; а меду, и забожусь, лучшего не сыщете на хуторах.",1
77,"Представьте себе, что как внесешь сот – дух пойдет по всей комнате, вообразить нельзя какой: чист, как слеза или хрусталь дорогой, что бывает в серьгах.",1
78,А какими пирогами накормит моя старуха!,1
79,"Что за пироги, если б вы только знали: сахар, совершенный сахар!",1
80,"А масло так вот и течет по губам, когда начнешь есть.",1
81,"Подумаешь, право: на что не мастерицы эти бабы!",1
82,"Пили ли вы когда-либо, господа, грушевый квас с терновыми ягодами или варенуху с изюмом и сливами?",1
83,Или не случалось ли вам подчас есть путрю с молоком?,1
84,"Боже ты мой, какие на свете нет кушаньев!",1
85,"Станешь есть – объяденье, да и полно.",1
86,Сладость неописанная!,1
87,Прошлого года…,1
88,"Однако ж что я, в самом деле, разболтался?..",1
89,"Приезжайте только, приезжайте поскорей; а накормим так, что будете рассказывать и встречному и поперечному.",1
90,Пасичник Рудый Панько.,1
91,"На всякий случай, чтобы не помянули меня недобрым словом, выписываю сюда, по азбучному порядку, те слова, которые в книжке этой не всякому понятны.",1
92,"Банду'ра, инструмент, род гитары.",1
93,"Бато'г, кнут.",1
94,"Боля'чка, золотуха.",1
95,"Бо'ндарь, бочарь.",1
96,"Бу'блик, круглый крендель, баранчик.",1
97,"Буря'к, свекла.",1
98,"Бухане'ц, небольшой хлеб.",1
99,"Ви'нница, винокурня.",1
100,"Галу'шки, клецки.",1
101,"Голодра'бец, бедняк, бобыль.",1
102,"Гопа'к, малороссийский танец.",1
103,"Горлица, малороссийский танец.",1
104,"Ди'вчина, девушка.",1
105,"Дивча'та, девушки.",1
106,"Дижа', кадка.",1
107,"Дрибу'шки, мелкие косы.",1
108,"Домови'на, гроб.",1
109,"Ду'ля, шиш.",1
110,"Дука'т, род медали, носится на шее.",1
111,"Зна'хор, многознающий, ворожея.",1
112,"Жи'нка, жена.",1
113,"Жупа'н, род кафтана.",1
114,"Кагане'ц, род светильни.",1
115,"Кле'пки, выпуклые дощечки, из коих составлена бочка.",1
116,"Книш, род печеного хлеба.",1
117,"Ко'бза, музыкальный инструмент.",1
118,"Комо'ра, амбар.",1
119,"Кора'блик, головной убор.",1
120,"Кунту'ш, верхнее старинное платье.",1
121,"Корова'й, свадебный хлеб.",1
122,"Ку'холь, глиняная кружка.",1
123,"Лысый дидько, домовой, демон.",1
124,"Лю'лька, трубка.",1
125,"Маки'тра, горшок, в котором трут мак.",1
126,"Макого'н, пест для растирания мака.",1
127,"Малаха'й, плеть.",1
128,"Ми'ска, деревянная тарелка.",1
129,"Молоди'ца, замужняя женщина.",1
130,"На'ймыт, нанятой работник.",1
131,"На'ймычка, нанятая работница.",1
132,"Оселе'дец, длинный клок волос на голове, заматывающийся на ухо.",1
133,"Очи'пок, род чепца.",1
134,"Пампу'шки, кушанье из теста.",1
135,"Па'сичник, пчеловод.",1
136,"Па'рубок, парень.",1
137,"Пла'хта, нижняя одежда женщин.",1
138,"Пе'кло, ад.",1
139,"Пере'купка, торговка.",1
140,"Переполо'х, испуг.",1
141,"Пе'йсики, жидовские локоны.",1
142,"Пове'тка, сарай.",1
143,"Полутабе'нек, шелковая материя.",1
144,"Пу'тря, кушанье, род каши.",1
145,"Рушни'к, утиральник.",1
146,"Сви'тка, род полукафтанья.",1
147,"Синдя'чки, узкие ленты.",1
148,"Сластёны, пышки.",1
149,"Сво'лок, перекладина под потолком.",1
150,"Сливя'нка, наливка из слив.",1
151,"Сму'шки, бараний мех.",1
152,"Со'няшница, боль в животе.",1
153,"Сопи'лка, род флейты.",1
154,"Стуса'н, кулак.",1
155,"Стри'чки, ленты.",1
156,"Тройча'тка, тройная плеть.",1
157,"Хло'пец, парень.",1
158,"Ху'тор, небольшая деревушка.",1
159,"Ху'стка, платок носовой.",1
160,"Цибу'ля, лук.",1
161,"Чумаки', обозники, едущие в Крым за солью и рыбою.",1
162,"Чупри'на,чуб, длинный клок волос на голове.",1
163,"Ши'шка, небольшой хлеб, делаемый на свадьбах.",1
164,"Юшка, соус, жижа.",1
165,"Ятка, род палатки или шатра.",1
166,Сорочинская ярмарка I Менi нудно в хатi жить.,1
167,"Ой, вези ж мене iз дому, Де багацько грому, грому, Де гопцюють все дiвки, Де гуляють парубки!Из старинной легенды Как упоителен, как роскошен летний день в Малороссии!",1
168,"Как томительно жарки те часы, когда полдень блещет в тишине и зное и голубой неизмеримый океан, сладострастным куполом нагнувшийся над землею, кажется, заснул, весь потонувши в неге, обнимая и сжимая прекрасную в воздушных объятиях своих!",1
169,На нем ни облака.,1
170,В поле ни речи.,1
171,"Все как будто умерло; вверху только, в небесной глубине, дрожит жаворонок, и серебряные песни летят по воздушным ступеням на влюбленную землю, да изредка крик чайки или звонкий голос перепела отдается в степи.",1
172,"Лениво и бездумно, будто гуляющие без цели, стоят подоблачные дубы, и ослепительные удары солнечных лучей зажигают целые живописные массы листьев, накидывая на другие темную, как ночь, тень, по которой только при сильном ветре прыщет золото.",1
173,"Изумруды, топазы, яхонты эфирных насекомых сыплются над пестрыми огородами, осеняемыми статными подсолнечниками.",1
174,Серые стога сена и золотые снопы хлеба станом располагаются в поле и кочуют по его неизмеримости.,1
175,"Нагнувшиеся от тяжести плодов широкие ветви черешен, слив, яблонь, груш; небо, его чистое зеркало – река в зеленых, гордо поднятых рамах… как полно сладострастия и неги малороссийское лето!",1
176,Такою роскошью блистал один из дней жаркого августа тысячу восемьсот… восемьсот…,1
177,"Да, лет тридцать будет назад тому, когда дорога, верст за десять до местечка Сорочинец, кипела народом, поспешавшим со всех окрестных и дальних хуторов на ярмарку.",1
178,С утра еще тянулись нескончаемою вереницею чумаки с солью и рыбою.,1
179,"Горы горшков, закутанных в сено, медленно двигались, кажется, скучая своим заключением и темнотою; местами только какая-нибудь расписанная ярко миска или макитра хвастливо выказывалась из высоко взгроможденного на возу плетня и привлекала умиленные взгляды поклонников роскоши.",1
180,"Много прохожих поглядывало с завистью на высокого гончара, владельца сих драгоценностей, который медленными шагами шел за своим товаром, заботливо окутывая глиняных своих щеголей и кокеток ненавистным для них сеном.",1
181,"Одиноко в стороне тащился на истомленных волах воз, наваленный мешками, пенькою, полотном и разною домашнею поклажею, за которым брел, в чистой полотняной рубашке и запачканных полотняных шароварах, его хозяин.",1
182,"Ленивою рукой обтирал он катившийся градом пот со смуглого лица и даже капавший с длинных усов, напудренных тем неумолимым парикмахером, который без зову является и к красавице и к уроду и насильно пудрит несколько тысяч уже лет весь род человеческий.",1
183,"Рядом с ним шла привязанная к возу кобыла, смиренный вид которой обличал преклонные лета ее.",1
184,"Много встречных, и особливо молодых парубков, брались за шапку, поравнявшись с нашим мужиком.",1
185,"Однако ж не седые усы и не важная поступь его заставляли это делать; стоило только поднять глаза немного вверх, чтоб увидеть причину такой почтительности: на возу сидела хорошенькая дочка с круглым личиком, с черными бровями, ровными дугами поднявшимися над светлыми карими глазами, с беспечно улыбавшимися розовыми губками, с повязанными на голове красными и синими лентами, которые, вместе с длинными косами и пучком полевых цветов, богатою короною покоились на ее очаровательной головке.",1
186,"Все, казалось, занимало ее; все было ей чудно, ново… и хорошенькие глазки беспрестанно бегали с одного предмета на другой.",1
187,Как не рассеяться! в первый раз на ярмарке!,1
188,Девушка в осьмнадцать лет в первый раз на ярмарке!..,1
189,"Но ни один из прохожих и проезжих не знал, чего ей стоило упросить отца взять с собою, который и душою рад бы был это сделать прежде, если бы не злая мачеха, выучившаяся держать его в руках так же ловко, как он вожжи своей старой кобылы, тащившейся, за долгое служение, теперь на продажу.",1
190,"Неугомонная супруга… но мы и позабыли, что и она тут же сидела на высоте воза, в нарядной шерстяной зеленой кофте, по которой, будто по горностаевому меху, нашиты были хвостики, красного только цвета, в богатой плахте, пестревшей, как шахматная доска, и в ситцевом цветном очипке, придававшем какую-то особенную важность ее красному, полному лицу, по которому проскальзывало что-то столь неприятное, столь дикое, что каждый тотчас спешил перенести встревоженный взгляд свой на веселенькое личико дочки.",1
191,"Глазам наших путешественников начал уже открываться Псёл; издали уже веяло прохладою, которая казалась ощутительнее после томительного, разрушающего жара.",1
192,"Сквозь темно– и светло-зеленые листья небрежно раскиданных по лугу осокоров, берез и тополей засверкали огненные, одетые холодом искры, и река-красавица блистательно обнажила серебряную грудь свою, на которую роскошно падали зеленые кудри дерев.",1
193,"Своенравная, как она в те упоительные часы, когда верное зеркало так завидно заключает в себе ее полное гордости и ослепительного блеска чело, лилейные плечи и мраморную шею, осененную темною, упавшею с русой головы волною, когда с презрением кидает одни украшения, чтобы заменить их другими, и капризам ее конца нет, – она почти каждый год переменяла свои окрестности, выбирая себе новый путь и окружая себя новыми, разнообразными ландшафтами.",1
194,"Ряды мельниц подымали на тяжелые колеса свои широкие волны и мощно кидали их, разбивая в брызги, обсыпая пылью и обдавая шумом окрестность.",1
195,"Воз с знакомыми нам пассажирами взъехал в это время на мост, и река во всей красоте и величии, как цельное стекло, раскинулась перед ними.",1
196,"Небо, зеленые и синие леса люди, возы с горшками, мельницы – все опрокинулось, стояло и ходило вверх ногами, не падая в голубую прекрасную бездну.",1
197,"Красавица наша задумалась, глядя на роскошь вида, и позабыла даже лущить свой подсолнечник, которым исправно занималась во все продолжение пути, как вдруг слова: «Ай да дивчина!» – поразили слух ее.",1
198,"Оглянувшисъ, увидела она толпу стоявших на мосту парубков, из которых один, одетый пощеголеватее прочих, в белой свитке и в серой шапке решетиловских смушек, подпершись в бока, молодецки поглядывал на проезжающих.",1
199,"Красавица не могла не заметить его загоревшего, но исполненного приятности лица и огненных очей, казалось, стремившихся видеть ее насквозь, и потупила глаза при мысли, что, может быть, ему принадлежало произнесенное слово.",1
200,"–Славная дивчина! – продолжал парубок в белой свитке, не сводя с нее глаз.",1
201,"– Я бы отдал все свое хозяйство, чтобы поцеловать ее.",1
202,А вот впереди и дьявол сидит!,1
203,"Хохот поднялся со всех сторон; но разряженной сожительнице медленно выступавшего супруга не слишком показалось такое приветствие: красные щеки ее превратились в огненные, и треск отборных слов посыпался дождем на голову разгульного парубка –Чтоб ты подавился, негодный бурлак!",1
204,Чтоб твоего отца горшком в голову стукнуло!,1
205,"Чтоб он подскользнулся на льду, антихрист проклятый!",1
206,Чтоб ему на том свете черт бороду обжег!,1
207,"–Вишь, как ругается! – сказал парубок, вытаращив на нее глаза, как будто озадаченный таким сильным залпом неожиданных приветствий, – и язык у нее, у столетней ведьмы, не заболит выговорить эти слова.",1
208,–Столетней! – подхватила пожилая красавица.,1
209,– Нечестивец! поди умойся наперед!,1
210,Сорванец негодный!,1
211,"Я не видала твоей матери, но знаю, что дрянь! и отец дрянь! и тетка дрянь!",1
212,Столетней! что у него молоко еще на губах…,1
213,"Тут воз начал спускаться с мосту, и последних слов уже невозможно было расслушать; но парубок не хотел, кажется, кончить этим: не думая долго, схватил он комок грязи и швырнул вслед за нею.",1
214,"Удар был удачнее, нежели можно было предполагать: весь новый ситцевый очипок забрызган был грязью, и хохот разгульных повес удвоился с новою силой.",1
215,"Дородная щеголиха вскипела гневом; но воз отъехал в это время довольно далеко, и месть ее обратилась на безвинную падчерицу и медленного сожителя, который, привыкнув издавна к подобным явлениям, сохранял упорное молчание и хладнокровно принимал мятежные речи разгневанной супруги.",1
216,"Однако ж, несмотря на это, неутомимый язык ее трещал и болтался во рту до тех пор, пока не приехали они в пригородье к старому знакомому и куму, козаку Цыбуле.",1
217,"Встреча с кумовьями, давно не видавшимися, выгнала на время из головы это неприятное происшествие, заставив наших путешественников поговорить об ярмарке и отдохнуть немного после дальнего пути.",1
218,"II Що, боже то мiй, господе! чого нема на той ярмарцi!",1
219,"Колеса, скло, дьоготь, тютюн, ремiнь, цибуля, крамарi всякi… так, що хоч би в кишенi було рублiв i з тридцять, то й тодi б не закупив усiеi ярмарки.",1
220,"Из малороссийской комедии Вам, верно, случалось слышать где-то валящийся отдаленный водопад, когда встревоженная окрестность полна гула и хаос чудных неясных звуков вихрем носится перед вами.",1
221,"Не правда ли, не те ли самые чувства мгновенно обхватят вас в вихре сельской ярмарки, когда весь народ срастается в одно огромное чудовище и шевелится всем своим туловищем на площади и по тесным улицам, кричит, гогочет, гремит?",1
222,"Шум, брань, мычание, блеяние, рев – все сливается в один нестройный говор.",1
223,"Волы, мешки, сено, цыганы, горшки, бабы, пряники, шапки – все ярко, пестро, нестройно; мечется кучами и снуется перед глазами.",1
224,"Разноголосные речи потопляют друг друга, и ни одно слово не выхватится, не спасется от этого потопа; ни один крик не выговорится ясно.",1
225,Только хлопанье по рукам торгашей слышится со всех сторон ярмарки.,1
226,"Ломается воз, звенит железо, гремят сбрасываемые на землю доски, и закружившаяся голова недоумевает, куда обратиться.",1
227,Приезжий мужик наш с чернобровою дочкой давно уже толкался в народе.,1
228,"Подходил к одному возу, щупал другой, применивался к ценам; а между тем мысли его ворочались безостановочно около десяти мешков пшеницы и старой кобылы, привезенных им на продажу.",1
229,"По лицу его дочки заметно было, что ей не слишком приятно тереться около возов с мукою и пшеницею.",1
230,"Ей бы хотелось туда, где под полотняными ятками нарядно развешаны красные ленты, серьги, оловянные, медные кресты и дукаты.",1
231,"Но и тут, однако ж, она находила себе много предметов для наблюдения: ее смешило до крайности, как цыган и мужик били один другого по рукам, вскрикивая сами от боли; как пьяный жид давал бабе киселя; как поссорившиеся перекупки перекидывались бранью и раками; как москаль, поглаживая одною рукою свою козлиную бороду, другою…",1
232,"Но вот почувствовала она, кто-то дернул ее за шитый рукав сорочки.",1
233,"Оглянулась – и парубок в белой свитке, с яркими очами стоял перед нею.",1
234,"Жилки ее вздрогнули, и сердце забилось так, как еще никогда, ни при какой радости, ни при каком горе: и чудно и любо ей показалось, и сама не могла растолковать, что делалось с нею.",1
235,"–Не бойся, серденько, не бойся! – говорил он ей вполголоса, взявши ее руку, – я ничего не скажу тебе худого!",1
236,"«Может быть, это и правда, что ты ничего не скажешь худого, – подумала про себя красавица, – только мне чудно… верно, это лукавый!",1
237,"Сама, кажется, знаешь, что не годится так… а силы недостает взять от него руку».",1
238,"Мужик оглянулся и хотел что-то промолвить дочери, но в стороне послышалось слово «пшеница».",1
239,"Это магическое слово заставило его в ту же минуту присоединиться к двум громко разговаривавшим негоциантам, и приковавшегося к ним внимания уже ничто не в состоянии было развлечь.",1
240,Вот что говорили негоцианты о пшенице.,1
241,"III Чи бачиш, вiи який парнище?",1
242,На свiтi трохи естъ таких.,1
243,"Сивуху так, мов брагу, хлище!",1
244,"Котляревский, «Энеида» –Так ты думаешь, земляк, что плохо пойдет наша пшеница? – говорил человек, с вида похожий на заезжего мещанина, обитателя какого-нибудь местечка, в пестрядевых, запачканных дегтем и засаленных шароварах, другому, в синей, местами уже с заплатами, свитке и с огромною шишкою на лбу.",1
245,"–Да думать нечего тут; я готов вскинуть на себя петлю и болтаться на этом дереве, как колбаса перед рождеством на хате, если мы продадим хоть одну мерку.",1
246,"–Кого ты, земляк, морочишь?",1
247,"Привозу ведь, кроме нашего, нет вовсе, – возразил человек в пестрядевых шароварах.",1
248,"«Да, говорите себе что хотите, – думал про себя отец нашей красавицы, не пропускавший ни одного слова из разговора двух негоциантов, – а у меня десять мешков есть в запасе».",1
249,"–То-то и есть, что если где замешалась чертовщина, то ожидай столько проку, сколько от голодного москаля, – значительно сказал человек с шишкою на лбу.",1
250,–Какая чертовщина? – подхватил человек в пестрядевых шароварах.,1
251,"–Слышал ли ты, что поговаривают в народе? – продолжал с шишкою на лбу, наводя на него искоса свои угрюмые очи.",1
252,–Ну!,1
253,"–Ну, то-то ну!",1
254,"Заседатель, чтоб ему не довелось обтирать губ после панской сливянки, отвел для ярмарки проклятое место, на котором, хоть тресни, ни зерна не спустишь.",1
255,"Видишь ли ты тот старый, развалившийся сарай, что вон-вон стоит под горою?",1
256,"(Тут любопытный отец нашей красавицы подвинулся еще ближе и весь превратился, казалось, во внимание.)",1
257,В том сарае то и дело что водятся чертовские шашни; и ни одна ярмарка на этом месте не проходила без беды.,1
258,"Вчера волостной писарь проходил поздно вечером, только глядь – в слуховое окно выставилось свиное рыло и хрюкнуло так, что у него мороз подрал по коже; того и жди, что опять покажется красная свитка!",1
259,–Что ж это за красная свитка?,1
260,"Тут у нашего внимательного слушателя волосы поднялись дыбом; со страхом оборотился он назад и увидел, что дочка его и парубок спокойно стояли, обнявшись и напевая друг другу какие-то любовные сказки, позабыв про все находящиеся на свете свитки.",1
